Player,Team,Games,Minutes,Defense,Attack,Possession,Total,Goals,Goals Inside,Goals Outside,On-Target Shots,Total Shots,Shot Accuracy,Shots Inside,Shots Outside,Successful Passes,Attempted Passes,Pass Accuracy,Avg Pass Length,Key Passes,Assists,Chances Created,Successful Tackles,Failed Tackles,Tackle Attempts,Sussessful Take Ons,Failed Take Ons,Take On Attempts,Successful Aerials,Failed Aerials,Total Aerials,Total Successful Duels,Total Failed Duels,Total Duels,Interception,Blocked Shots,Clearances,Total Defense,Errors,Errors Leading to Goal,Total Error,Card - D,Card - T,Card - C,Card - O,Yellow Card,Red Card,Total Card
Vardy,LEICESTER,34,2242,102,378,-214,266,5,3,2,,48,60,38,10,420,,74,14,19,2,,25,,,28,,,64,,,149,,,23,2,7,32,N/A,N/A,N/A,0,2,0,1,3,0,3
Nugent,LEICESTER,29,1720,19,334,-97,256,5,5,0,,41,44,21,20,299,,64,15,27,8,,11,,,18,,,55,,,104,,,10,4,9,23,N/A,N/A,N/A,0,3,0,0,3,0,3
Kramaric,LEICESTER,13,576,-7,121,-19,95,2,2,0,,23,44,14,9,155,,84,15,6,0,,4,,,8,,,22,,,24,,,1,0,3,4,N/A,1,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Sterling,LIVERPOOL,35,3047,179,668,-54,793,7,7,0,,84,53,55,29,909,,81,14,68,7,,30,,,103,,,5,,,231,,,17,2,15,34,1,0,1,0,5,0,0,5,0,5
Balotelli,LIVERPOOL,16,942,15,280,-118,177,1,1,0,,56,56,25,31,167,,70,14,7,0,,11,,,11,,,8,,,56,,,3,2,12,17,NA,NA,NA,0,4,1,0,5,0,5
Lambert,LIVERPOOL,25,863,-36,149,-66,47,2,2,0,,19,53,14,5,175,,68,13,9,2,,3,,,1,,,37,,,48,,,0,1,7,8,NA,NA,NA,0,1,0,1,2,0,2
Sturridge,LIVERPOOL,12,753,34,260,-38,256,4,4,0,,39,44,25,14,197,,79,14,10,1,,1,,,15,,,4,,,36,,,0,0,9,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Borini,LIVERPOOL,12,401,-34,63,-52,-23,1,1,0,,14,38,12,2,86,,76,15,7,1,,1,,,3,,,4,,,16,,,5,0,0,5,NA,NA,NA,0,2,0,1,2,1,3
Aguero,MAN CITY,33,2528,-20,1511,-97,1394,26,24,2,,148,54,33,115,712,,85,11,25,8,,18,,,58,,,8,,,138,,,13,0,2,15,N/A,N/A,N/A,1,0,0,3,4,0,4
Dzeko,MAN CITY,17,788,-47,326,63,342,5,5,0,,43,41,9,34,281,,77,13,9,2,,8,,,35,,,39,,,65,,,5,2,14,21,N/A,N/A,N/A,0,1,0,0,1,0,1
Jovetic,MAN CITY,10,311,3,199,0,202,4,3,1,,38,41,14,24,410,,82,12,12,3,,7,,,64,,,7,,,50,,,8,1,3,12,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Rooney,MAN UTD,33,2872,-13,846,77,909,12,11,1,,79,51,43,36,1386,,85,19,40,5,,30,,,38,,,41,,,133,,,29,4,46,79,2,1,3,0,2,0,4,5,1,6
van Persie,MAN UTD,27,2111,22,559,-25,556,10,9,1,,76,56,63,13,465,,85,14,24,2,,15,,,21,,,32,,,94,,,6,2,31,39,NA,NA,NA,0,4,0,1,5,0,5
Falcao,MAN UTD,26,1302,39,305,-135,209,4,4,0,,37,55,29,8,340,,86,12,14,4,,9,,,13,,,19,,,66,,,7,2,10,19,NA,NA,NA,0,2,0,0,2,0,2
Wilson,MAN UTD,13,362,-17,47,-42,-13,1,1,0,,8,50,6,2,75,,77,12,1,0,,3,,,6,,,7,,,20,,,4,1,5,10,NA,NA,NA,0,1,0,2,3,0,3
Gutierrez,NEWCASTLE,36,2386,94,427,-411,110,7,7,0,,61,53,50,11,566,,80,12,27,0,,32,,,60,,,23,,,155,,,27,3,23,51,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Ameobi,NEWCASTLE,25,1433,178,200,-263,114,2,1,1,,26,27,13,13,513,,66,18,19,2,,38,,,51,,,57,,,167,,,34,1,31,68,N/A,0,1,0,2,0,0,2,0,2
Rivirie,NEWCASTLE,23,1215,22,82,-204,-101,1,1,0,,32,32,26,6,377,,78,10,14,1,,8,,,8,,,31,,,62,,,5,0,5,10,N/A,N/A,N/A,0,1,0,0,1,0,1
Demba,NEWCASTLE,22,1161,-36,458,-167,255,11,11,0,,45,58,31,14,343,,78,13,5,1,,9,,,8,,,17,,,47,,,2,1,7,10,N/A,N/A,N/A,0,1,0,0,1,0,1
Austin,QPR,35,3065,-43,1240,-481,716,18,16,2,,130,67,75,55,496,,66,15,18,5,,16,,,15,,,86,,,161,,,10,3,41,54,NA,NA,NA,0,4,0,2,5,1,6
Zmora,QPR,31,1779,-105,175,-140,-70,3,3,0,,29,25,20,9,409,,65,14,46,4,,9,,,5,,,58,,,92,,,5,3,13,21,NA,NA,NA,0,2,0,2,4,0,4
Vargas,QPR,21,1388,-19,331,-162,151,3,2,1,,41,48,24,17,388,,76,15,13,2,,14,,,20,,,15,,,69,,,15,0,10,25,2,0,2,0,1,0,0,1,0,1
Pelle,S'HAMPTON,38,3286,-83,628,-231,314,12,12,0,,123,38,105,18,793,,65,14,40,2,,10,,,7,,,170,,,224,,,7,6,41,54,N/A,N/A,N/A,0,3,1,2,6,0,6
Long,S'HAMPTON,32,1558,103,270,-143,230,5,4,1,,37,48,28,9,297,,68,16,15,5,,19,,,10,,,45,,,105,,,22,1,25,48,N/A,N/A,N/A,0,2,0,0,2,0,2
Diouf,STOKE,34,2434,-49,484,-218,217,11,10,1,,55,52,49,6,298,,66,13,25,3,,31,,,22,,,50,,,141,,,8,4,43,55,NA,NA,NA,0,7,0,0,7,0,7
Walters,STOKE,32,2419,115,461,-380,195,8,7,1,,45,61,31,14,449,,66,14,20,4,,18,,,19,,,107,,,176,,,17,3,41,61,NA,NA,NA,0,5,0,0,5,0,5
Arnautovic,STOKE,29,1924,55,332,-77,310,1,1,0,,44,32,18,26,547,,80,17,37,5,,31,,,38,,,12,,,108,,,25,1,5,31,1,0,1,0,1,0,1,2,0,2
Crouch,STOKE,33,1701,-6,341,-124,211,8,8,0,,59,35,48,11,386,,63,11,12,2,,10,,,7,,,152,,,185,,,5,2,32,39,NA,NA,NA,0,4,0,0,4,0,4
Krkic,STOKE,16,1203,16,342,-50,307,4,3,1,,32,42,11,21,469,,85,17,25,1,,17,,,44,,,2,,,95,,,14,1,2,17,NA,NA,NA,0,2,0,0,2,0,2
Wickham,SUNDERLAND,36,2769,26,438,-599,43,5,5,0,,83,43,44,39,590,,65,15,20,1,,41,,,43,,,95,,,240,,,29,5,65,99,N/A,N/A,N/A,0,8,0,0,8,0,8
Fletcher,SUNDERLAND,30,1793,33,242,-252,23,5,5,0,,37,44,35,37,379,,69,12,15,2,,13,,,11,,,75,,,131,,,9,4,18,31,N/A,N/A,N/A,1,3,0,0,4,0,4
Defoe,SUNDERLAND,17,1451,-19,201,-31,150,4,2,2,,34,58,19,34,222,,80,12,13,0,,12,,,6,,,1,,,39,,,2,1,11,14,N/A,N/A,N/A,0,0,0,1,1,0,1
Graham,SUNDERLAND,14,633,27,62,-86,4,1,1,0,,10,57,9,10,104,,63,11,6,0,,0,,,3,,,18,,,33,,,8,0,3,11,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
